,管道1温度,管道2温度,管道3温度,管道4温度,管道5温度,管道6温度,管道7温度,管道8温度,管道9温度,管道10温度
总燃料量,0.6267693909717976,-0.0659889074165323,0.046323094301116155,0.41674376663438595,0.3118473714222375,0.6512343840886835,0.4311088131472903,0.1928367402363944,0.429461983374274,0.6518101964466501
总给水流量,-0.000933340844789474,-0.007865339576228328,0.0024032025614072004,0.002260820158664736,0.0018872272186540029,0.0016554303784817297,0.003518202840132781,0.002176341018003916,0.0015612206092051623,0.004670666123205693
总风量流量,-0.045072177216475856,-0.04867141145768052,-0.019922253152260348,0.008277135852789701,0.0040779111514211465,0.013533474666194522,0.04002317828492252,-0.035545170738321336,0.016336486162721743,-0.051862552805540356
锅炉烟气含氧量,-0.017304705600823346,-0.17337233149829853,-0.028170041825175532,-0.09561283746923951,-0.07956743395568984,-0.059748881174464516,0.018988584634211172,-0.11954188179006228,-0.2947407678216028,-0.3719074404568751
锅炉给水温度1,1.933560038792927,2.0168079880171184,0.2905003157684708,0.9013998724733808,0.6274652301868843,1.2187039885902637,1.2534464114950485,0.21715573997304866,1.690689346177523,1.4635419114321313
B空预器出口二次风量2,0.03866183244217423,0.03790507591575819,0.02177276839103358,-0.026116020218701696,-0.0030351775875443812,-0.017660019742614705,-0.0004450594136982122,0.06996418722770607,0.03368037437993267,0.014627836872676866
A空预器出口二次风量2,0.4384588772839695,-0.31326393120664653,-0.11991054026292035,0.19845835260278427,0.2980319750699725,0.25692585604130314,-0.5964510658305688,0.09312749955422589,0.19881298977571016,0.2523419564286272
#1角摆角燃烧器调节门反馈,0.059639355289822685,0.35318690713251777,0.10522060365675015,0.04158991917808358,0.02445555582021719,0.03004895833097873,-0.06317264486944042,-0.06041042886840905,0.15347728124553633,0.1771446194914982
#2角摆角燃烧器调节门反馈,-0.051963879348546384,-0.14847968432057512,-0.023547977750193287,-0.04337179613575105,-0.0072739598680883494,-0.01311197127774806,0.03492535915419513,0.0386164906251603,-0.1974373057151938,-0.17867798140655924
#3角摆角燃烧器调节门反馈,-0.05843613884293902,-0.06435950383416095,-0.02260729416529854,0.14061169563649623,0.040589276385644524,0.12247035078193891,-0.027969173592067728,-0.05887999959042456,-0.1523642390606732,-0.20648484297363706
#4角摆角燃烧器调节门反馈,-0.013428098427555333,-1.0568158237290723,-0.16166350925013168,0.24296676184097374,0.13432096128283935,0.36983366516223576,0.7297536502998413,0.027358982425089155,0.5927935559352316,0.3472517730588136
#1角UD层二次风调节挡板位置反馈,-0.07125486320013025,-1.9456324593282266,0.03471125372787298,1.1475474901439982,0.4829028917920019,1.1651999385110494,-1.0263127726432748,-1.812713532355433,-1.232235527984371,-1.2550530126055897
#2角UD层二次风调节挡板位置反馈,-0.17388997177691148,-0.1576193864936169,0.19549412524746496,-0.10039437282129214,0.08158029167668221,-0.1819770019755385,-0.06522491976633762,0.5615534308297001,-0.10342192634979151,-0.13735732920742755
