数据库：季度数据
时间：最近13季度
指标,2021年第一季度,2020年第四季度,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度
城市居民最低生活保障人数_累计值(万人),,26.47,26.95,27.57,27.69,28.10,28.65,29.56,30.37,31.14,32.15,33.21,33.70
城市居民最低生活保障人数_累计增长(%),,-5.8,-6.0,-6.7,-8.8,-9.8,-10.9,-11.0,-9.9,-8.3,-5.5,-2.8,-2.2
城市居民最低生活保障家庭数_累计值(万户),,17.25,17.45,17.78,17.83,18.05,18.35,18.82,19.24,19.66,20.22,20.79,21.00
城市居民最低生活保障家庭数_累计增长(%),,-4.4,-4.9,-5.5,-7.3,-8.2,-9.3,-9.5,-8.4,-7.1,-4.3,-1.8,-1.5
城市居民最低生活保障支出_累计值(万元),,193972.50,148606.80,101163.10,51304.70,181863.00,134957.20,90137.80,46918.80,192340.90,144659.80,91600.90,47313.80
城市居民最低生活保障支出_累计增长(%),,6.7,10.1,12.2,9.3,-5.4,-6.7,-1.6,-0.8,6.9,8.2,8.1,8.0
农村居民最低生活保障人数_累计值(万人),,62.26,61.99,60.46,58.33,57.89,57.47,57.47,57.43,58.09,59.39,60.22,59.75
农村居民最低生活保障人数_累计增长(%),,7.5,7.9,5.2,1.6,-0.3,-3.2,-4.6,-3.9,-3.5,-0.2,2.3,2.7
农村居民最低生活保障家庭数_累计值(万户),,33.70,33.47,32.75,31.65,31.39,31.15,31.12,31.11,31.41,32.15,32.68,32.32
农村居民最低生活保障家庭数_累计增长(%),,7.4,7.4,5.2,1.7,-0.1,-3.1,-4.8,-3.7,-3.1,0.4,3.4,3.7
农村居民最低生活保障支出_累计值(万元),,319488.30,237914.70,157895.40,79432.50,263077.70,192845.90,127006.40,65878.90,261250.40,193154.60,114654.20,58956.10
农村居民最低生活保障支出_累计增长(%),,21.4,23.4,24.3,20.6,0.7,-0.2,10.8,11.7,21.5,22.7,21.3,19.8
民政部门资助参保人数_累计值(万人),,,,,,,,,,,,,
