,100cm湿度(kg/m2)
2012-01-01,42.7900752892166
2012-02-01,42.82937209760431
2012-03-01,42.57310877660994
2012-04-01,42.79983046804687
2012-05-01,42.484637900557175
2012-06-01,41.1873240108075
2012-07-01,49.957590589435874
2012-08-01,62.34026999604503
2012-09-01,63.17868241122319
2012-10-01,55.0765298996123
2012-11-01,53.80687213402158
2012-12-01,54.566091828915056
2013-01-01,54.942221812784304
2013-02-01,54.61396441434869
2013-03-01,54.649317675599605
2013-04-01,54.9425978811701
2013-05-01,54.72132485404175
2013-06-01,52.635431794496746
2013-07-01,60.897094222797406
2013-08-01,67.07301703911253
2013-09-01,56.39741597799285
2013-10-01,53.657344233289486
2013-11-01,50.45589716814498
2013-12-01,50.8691756624355
2014-01-01,52.24113664438256
2014-02-01,52.50935538821142
2014-03-01,52.47905464703329
2014-04-01,52.62934889583641
2014-05-01,52.16353517677586
2014-06-01,51.46471085691701
2014-07-01,61.73675414815299
2014-08-01,54.909794341200836
2014-09-01,41.314534795049234
2014-10-01,42.00732498669106
2014-11-01,43.46844016274126
2014-12-01,43.363157457841965
2015-01-01,43.967382555159894
2015-02-01,44.31700840302987
2015-03-01,44.318422119170094
2015-04-01,44.37249350293718
2015-05-01,44.219100342772116
2015-06-01,44.030613357182645
2015-07-01,49.459303847683
2015-08-01,43.69760143736687
2015-09-01,40.913732504464484
2015-10-01,43.32427273773437
2015-11-01,48.42081153165655
2015-12-01,49.22151475631646
2016-01-01,48.24346507746659
2016-02-01,47.74382404962386
2016-03-01,47.61941757950704
2016-04-01,47.682657902123886
2016-05-01,47.53294653667586
2016-06-01,47.22389292868984
2016-07-01,52.05986639996147
2016-08-01,49.12058984476897
2016-09-01,40.968087378835705
2016-10-01,41.06178368367299
2016-11-01,44.41731991212949
2016-12-01,46.505579500570335
2017-01-01,46.42846052670777
2017-02-01,45.85540895831809
2017-03-01,45.55640537599552
2017-04-01,45.56711087309018
2017-05-01,45.490433023896685
2017-06-01,45.49798145665254
2017-07-01,49.18621221286111
2017-08-01,44.270652343248315
2017-09-01,40.12494902369563
2017-10-01,41.40609741177424
2017-11-01,41.34737147865093
2017-12-01,41.961167071365715
2018-01-01,42.923441222285454
2018-02-01,42.81849333885153
2018-03-01,42.43501405824988
2018-04-01,42.308068916946084
2018-05-01,42.26027475145579
2018-06-01,42.40689986792375
2018-07-01,45.23901491678663
2018-08-01,48.75578368834511
2018-09-01,63.001868880405766
2018-10-01,66.41419271768955
2018-11-01,65.45634197696747
2018-12-01,64.46392778549244
2019-01-01,64.08763345502842
2019-02-01,63.84393066179342
2019-03-01,63.48784415511623
2019-04-01,63.27011910551959
2019-05-01,62.87617798962682
2019-06-01,61.58395353611641
2019-07-01,62.571893781172626
2019-08-01,58.978351996807405
2019-09-01,43.61859257478974
2019-10-01,43.292810125155334
2019-11-01,44.35979849363117
2019-12-01,45.71223039807928
2020-01-01,47.0867921336089
2020-02-01,47.391025008709086
2020-03-01,47.03889104992635
2020-04-01,46.67809325546084
2020-05-01,46.4002055550988
2020-06-01,46.43814678745783
2020-07-01,48.6583802091667
2020-08-01,61.253117206073
2020-09-01,77.5998354870618
2020-10-01,84.69498463222054
2020-11-01,87.29379551103158
2020-12-01,84.76200195982095
2021-01-01,83.09255788770598
2021-02-01,82.61989186577662
2021-03-01,82.3431876662183
2021-04-01,82.01287160640399
2021-05-01,81.08441770122691
2021-06-01,78.4752913631186
2021-07-01,77.01165919942657
2021-08-01,91.0910862655598
2021-09-01,85.6921350046598
2021-10-01,87.49565931872877
2021-11-01,95.76080089869288
2021-12-01,96.33165631445789
2022-01-01,94.49572242578805
2022-02-01,93.5178241630369
2022-03-01,93.1941135208599
2022-04-01,92.89018943606794
2022-05-01,91.79437950948225
2022-06-01,90.83683801763775
2022-07-01,95.31025693147423
2022-08-01,96.85321490381237
2022-09-01,97.57870717867185
2022-10-01,97.90615465438223
2022-11-01,96.5906660759707
2022-12-01,96.43180975289657
2023-01-01,96.70347153551322
2023-02-01,96.88109511899283
2023-03-01,96.79309809440643
2023-04-01,96.28599490913908
2023-05-01,95.19018498255339
2023-06-01,94.23264349070888
2023-07-01,98.70606240454536
2023-08-01,100.24902037688351
2023-09-01,100.97451265174298
2023-10-01,101.30196012745337
2023-11-01,99.98647154904184
2023-12-01,99.8276152259677
