,40cm湿度(kg/m2)
2012-01-01,30.86949749961984
2012-02-01,30.870086969746755
2012-03-01,30.94553759455348
2012-04-01,31.2323977856654
2012-05-01,29.595463995616377
2012-06-01,33.21321018813597
2012-07-01,46.14522374400549
2012-08-01,50.801686632993
2012-09-01,42.85417148796763
2012-10-01,45.99741062580213
2012-11-01,41.91855365169105
2012-12-01,42.67464072008471
2013-01-01,42.710127300265505
2013-02-01,42.710087072080746
2013-03-01,42.78553769560395
2013-04-01,43.06239788082887
2013-05-01,41.46546411274976
2013-06-01,43.88321040112028
2013-07-01,55.26522389808043
2013-08-01,49.971686530825174
2013-09-01,46.004171571494695
2013-10-01,38.59741061630599
2013-11-01,34.75855362254125
2013-12-01,35.19464061221229
2014-01-01,35.220127198707544
2014-02-01,35.220086970938496
2014-03-01,35.29553759300945
2014-04-01,36.55239776519687
2014-05-01,41.19546396460086
2014-06-01,45.193210457427405
2014-07-01,56.2952238004541
2014-08-01,40.00168658879782
2014-09-01,33.44417136620131
2014-10-01,30.037410504663818
2014-11-01,33.16855351613029
2014-12-01,35.75464054785488
2015-01-01,35.810127181621546
2015-02-01,35.81008695484949
2015-03-01,35.885537592115796
2015-04-01,36.15239784022863
2015-05-01,34.49546390509026
2015-06-01,37.933210432113164
2015-07-01,46.01522345312317
2015-08-01,38.13168651040467
2015-09-01,36.864171293090756
2015-10-01,39.51741059468619
2015-11-01,45.95855354793946
2015-12-01,44.51464064985261
2016-01-01,44.440127251662666
2016-02-01,44.44008702339265
2016-03-01,44.515537659036816
2016-04-01,44.79239790143734
2016-05-01,42.93546398790703
2016-06-01,45.613210526029945
2016-07-01,50.125223461760875
2016-08-01,40.5316866139984
2016-09-01,31.124171388835848
2016-10-01,33.54741059347823
2016-11-01,46.14855326890973
2016-12-01,46.7246406355425
2017-01-01,46.76012725298377
2017-02-01,46.76008702551428
2017-03-01,46.83553765970619
2017-04-01,47.11239789273972
2017-05-01,45.14546399394138
2017-06-01,47.07321050655029
2017-07-01,44.785223463175726
2017-08-01,31.48168652539345
2017-09-01,36.384171313160934
2017-10-01,35.527410841779194
2017-11-01,33.27855317661681
2017-12-01,34.01464046666105
2018-01-01,34.05012709629028
2018-02-01,34.050086869424305
2018-03-01,34.12553750216395
2018-04-01,34.38239772412692
2018-05-01,32.70546382738077
2018-06-01,36.443210208959705
2018-07-01,41.79522327065505
2018-08-01,44.88168660176778
2018-09-01,50.43417128772129
2018-10-01,50.077410954869734
2018-11-01,47.56855335122076
2018-12-01,46.06464060076373
2019-01-01,46.070127200477756
2019-02-01,46.07008697365193
2019-03-01,46.14553760459956
2019-04-01,46.412397820850224
2019-05-01,44.53546395131794
2019-06-01,47.93321028362328
2019-07-01,50.46522354593611
2019-08-01,40.33168677784762
2019-09-01,38.564171136555274
2019-10-01,37.627410791118294
2019-11-01,32.41855322811269
2019-12-01,33.74464042067274
2020-01-01,33.85012704757397
2020-02-01,33.8500868227199
2020-03-01,33.925537452045376
2020-04-01,34.20239765884652
2020-05-01,32.51546381449885
2020-06-01,37.243210051322556
2020-07-01,46.62522333127396
2020-08-01,51.93168668595842
2020-09-01,54.54417117333404
2020-10-01,56.99741085175214
2020-11-01,52.30855350732224
2020-12-01,50.62464061124401
2021-01-01,50.40012720389045
2021-02-01,50.40008697463205
2021-03-01,50.47553760250528
2021-04-01,50.7423978029098
2021-05-01,48.70546400413526
2021-06-01,50.993210240852505
2021-07-01,54.255223626829924
2021-08-01,57.031686675219454
2021-09-01,54.02417120739624
2021-10-01,59.587410692257436
2021-11-01,54.26855355942364
2021-12-01,52.13464063747752
2022-01-01,52.140127199400915
2022-02-01,52.14008697064839
2022-03-01,52.21553759689948
2022-04-01,52.4923977851365
2022-05-01,51.35786177738415
2022-06-01,54.58107197489587
2022-07-01,61.206295773038
2022-08-01,56.537982418438794
2022-09-01,54.45215369533187
2022-10-01,54.77956424341252
2022-11-01,54.20811773574694
2022-12-01,54.17275836871019
2023-01-01,54.172885567215886
2023-02-01,54.17297253696126
2023-03-01,54.24851013296018
2023-04-01,54.61090791649039
2023-05-01,53.476371908738045
2023-06-01,56.69958210624976
2023-07-01,63.324805904391894
2023-08-01,58.65649254979269
2023-09-01,56.57066382668577
2023-10-01,56.89807437476641
2023-11-01,56.326627867100825
2023-12-01,56.291268500064085
